,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
3430,consultant,tuyu technology,no especificado,jornada completa,3.0,indefinido,False,30000.0,42000.0,,,,España,otros
3431,project manager,Michael Page,hibrido,jornada completa,1.0,indefinido,False,45000.0,54000.0,,,,España,administracion
3432,cto  director transformacion digital,Michael Page,no especificado,jornada completa,3.0,temporal,False,,,,,,España,otros
3433,developer,Hays,remoto,jornada completa,2.0,indefinido,False,,,,,,España,programador
3434,developer,Hays,no especificado,jornada completa,2.0,indefinido,False,,,,,,España,programador
3435,ingeniero desarrollo proyecto,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,Zaragoza,Zaragoza,Aragón,España,otros
3436,developer,Hays,no especificado,jornada completa,2.0,indefinido,False,,,,,,España,programador
3437,network technician,Page Personnel,hibrido,jornada completa,2.0,indefinido,False,24000.0,27000.0,,,,España,sistemas
3438,consultant,Hays,no especificado,jornada completa,3.0,indefinido,False,,,Barcelona,Barcelona,Cataluña,España,otros
3439,developer,Hays,no especificado,jornada completa,2.0,indefinido,False,,,,,,España,programador
3440,project leader industrial,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,otros
3441,qa engineer,Michael Page,no especificado,jornada completa,3.0,indefinido,False,45000.0,48000.0,,,,España,administracion
3442,developer,Michael Page,remoto,jornada completa,1.0,indefinido,False,42000.0,54000.0,,,,España,programador
3443,responsable de mejora continua,Michael Page,no especificado,jornada completa,5.0,indefinido,False,,,,,,España,otros
3444,qa engineer,Michael Page,no especificado,jornada completa,3.0,indefinido,False,39000.0,45000.0,,,,España,administracion
3445,project manager,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,administracion
3446,system engineer - aviation industry,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,otros
3447,project manager,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,Teruel,Teruel,Aragón,España,administracion
3448,developer,Hays,remoto,jornada completa,2.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,programador
3449,it engineer,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,sistemas
3450,programmer,alcorce telecomunicaciones,remoto,jornada completa,3.0,indefinido,False,,,,,,España,programador
3451,desarrolador magnolia cms  teletrabajo,Alten ,remoto,jornada completa,3.0,indefinido,False,30000.0,42000.0,,,,España,otros
3452,developer,Michael Page,remoto,jornada completa,2.0,indefinido,False,30000.0,36000.0,,,,España,programador
3453,responsable medios de pago cloud,Michael Page,hibrido,jornada completa,5.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,otros
